id,user,total_class_count,covered_class_count,total_method_count,covered_method_count,total_line_count,covered_line_count,total_branch_count,covered_branch_count,tested_class,test_name,game_mode,created_at
1,7b25b9f2-5d8e-401e-aefa-ac31e94575d1,1,1,3,3,4,4,0,0,be.thibber.gamification.Person,PersonTest,0,2025-04-17 07:04:16.113145
2,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,7,5,12,9,2,1,be.thibber.gamification.building.Building,BuildingTest.testAddressEmpty,1,2025-04-17 07:08:27.548315
3,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,7,5,12,9,2,1,be.thibber.gamification.building.Building,BuildingTest.testAddress,1,2025-04-17 07:08:46.767522
4,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,7,6,12,10,2,1,be.thibber.gamification.building.Building,BuildingTest.testGroundSurface,1,2025-04-17 07:09:38.827599
5,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,7,5,12,9,2,1,be.thibber.gamification.building.Building,BuildingTest.testGroundSurfaceNegatif,1,2025-04-17 07:09:49.959949
6,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,7,5,12,9,2,1,be.thibber.gamification.building.Building,BuildingTest.testGroundSurfaceNegatif,1,2025-04-17 07:10:13.623260
7,11b1644a-d11f-45cb-8a40-282a209059c0,1,1,8,8,14,14,0,0,be.thibber.gamification.Coords,CoordsTest,1,2025-04-17 07:11:30.574630
8,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,7,4,14,10,4,3,be.thibber.gamification.building.Building,BuildingTest.testGroundSurfaceNegatif,1,2025-04-17 07:11:51.572907
9,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,7,4,14,9,4,2,be.thibber.gamification.building.Building,BuildingTest.testFloorsCountNull,1,2025-04-17 07:13:54.105592
10,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,7,4,14,10,4,3,be.thibber.gamification.building.Building,BuildingTest.testFloorsCountNull,1,2025-04-17 07:14:27.727624
11,70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,1,1,8,5,14,7,0,0,be.thibber.gamification.Coords,CoordsTest,1,2025-04-17 07:15:18.244859
12,7b25b9f2-5d8e-401e-aefa-ac31e94575d1,1,1,8,5,15,10,6,4,be.thibber.gamification.vehicle.Vehicle,VehicleTest,0,2025-04-17 07:16:26.625384
13,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,7,7,14,14,4,4,be.thibber.gamification.building.Building,BuildingTest,1,2025-04-17 07:16:32.999002
14,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,8,4,15,6,6,1,be.thibber.gamification.vehicle.Vehicle,VehicleTest,1,2025-04-17 07:18:58.623023
15,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,8,4,15,6,6,1,be.thibber.gamification.vehicle.Vehicle,VehicleTest,1,2025-04-17 07:19:34.349818
16,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,8,4,15,7,6,2,be.thibber.gamification.vehicle.Vehicle,VehicleTest.testAccelerate,1,2025-04-17 07:20:08.685235
17,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,8,3,15,6,6,2,be.thibber.gamification.vehicle.Vehicle,VehicleTest.testAccelerateNegative,1,2025-04-17 07:20:29.440268
18,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,8,3,15,6,6,2,be.thibber.gamification.vehicle.Vehicle,VehicleTest.testAccelerateNegative,1,2025-04-17 07:20:52.172286
19,b39dc415-9bb6-4d5d-a8f9-30fd61f6a594,1,1,8,5,14,7,0,0,be.thibber.gamification.Coords,CoordsTest.coordTest,1,2025-04-17 07:21:03.938644
20,7b25b9f2-5d8e-401e-aefa-ac31e94575d1,1,1,8,3,15,5,6,1,be.thibber.gamification.vehicle.Vehicle,VehicleTest.testisNotStopped,0,2025-04-17 07:21:21.464077
21,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,8,4,15,7,6,2,be.thibber.gamification.vehicle.Vehicle,VehicleTest.testBrake,1,2025-04-17 07:21:24.505385
22,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,8,3,15,6,6,2,be.thibber.gamification.vehicle.Vehicle,VehicleTest.testBrakeNegative,1,2025-04-17 07:21:48.106767
23,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,8,3,15,5,6,1,be.thibber.gamification.vehicle.Vehicle,VehicleTest.testIsStopped,1,2025-04-17 07:22:33.336661
24,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,8,3,15,5,6,1,be.thibber.gamification.vehicle.Vehicle,VehicleTest.testIsNotStopped,1,2025-04-17 07:22:39.082540
25,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,8,4,15,6,6,1,be.thibber.gamification.vehicle.Vehicle,VehicleTest.testReset,1,2025-04-17 07:23:04.870821
26,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,8,4,14,6,0,0,be.thibber.gamification.Coords,CoordsTest.testSetX,1,2025-04-17 07:24:02.491768
27,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,7,7,14,14,4,4,be.thibber.gamification.building.Building,BuildingTest,1,2025-04-17 07:24:54.583342
28,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,8,8,15,14,6,5,be.thibber.gamification.vehicle.Vehicle,VehicleTest,1,2025-04-17 07:25:22.104827
29,0d271530-be17-4538-bf04-dde3c6069b5f,1,1,8,8,15,15,6,6,be.thibber.gamification.vehicle.Vehicle,VehicleTest,1,2025-04-17 07:25:23.767523
30,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,8,4,14,6,0,0,be.thibber.gamification.Coords,CoordsTest,1,2025-04-17 07:25:30.355693
31,0d271530-be17-4538-bf04-dde3c6069b5f,1,1,8,8,15,15,6,6,be.thibber.gamification.vehicle.Vehicle,VehicleTest,1,2025-04-17 07:27:35.957786
32,0d271530-be17-4538-bf04-dde3c6069b5f,1,1,8,8,14,14,0,0,be.thibber.gamification.Coords,CoordsTest,1,2025-04-17 07:28:01.424811
33,674eeeb6-2534-419d-8965-63e4400f60c4,1,1,8,7,14,13,0,0,be.thibber.gamification.Coords,CoordsTest,0,2025-04-17 07:28:46.392401
34,1f06f352-91b6-4373-87ed-5a5070723efb,1,1,8,8,14,14,0,0,be.thibber.gamification.Coords,CoordsTest,1,2025-04-17 07:29:50.638583
35,1f06f352-91b6-4373-87ed-5a5070723efb,1,1,8,8,14,14,0,0,be.thibber.gamification.Coords,CoordsTest,1,2025-04-17 07:29:51.855832
36,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,7,7,14,14,4,4,be.thibber.gamification.building.Building,BuildingTest,1,2025-04-17 07:30:12.214219
37,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,2,2,2,2,0,0,be.thibber.gamification.building.House,HouseTest,1,2025-04-17 07:31:15.831935
38,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,7,7,14,14,4,4,be.thibber.gamification.building.Building,BuildingTest,1,2025-04-17 07:33:58.473872
39,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,8,4,14,6,0,0,be.thibber.gamification.Coords,be.thibber.gamification in gamified-testing,1,2025-04-17 07:34:37.313263
40,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,0,7,0,21,0,14,0,be.thibber.gamification.PolyLine,be.thibber.gamification in gamified-testing,1,2025-04-17 07:37:39.597744
41,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,0,10,0,32,0,16,0,be.thibber.gamification.City,be.thibber.gamification in gamified-testing,1,2025-04-17 07:37:44.129813
42,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,0,11,0,22,0,8,0,be.thibber.gamification.vehicle.Car,be.thibber.gamification in gamified-testing,1,2025-04-17 07:38:01.430145
43,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,0,6,0,8,0,0,0,be.thibber.gamification.Road,be.thibber.gamification in gamified-testing,1,2025-04-17 07:38:10.173306
44,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,8,8,15,15,6,6,be.thibber.gamification.vehicle.Vehicle,be.thibber.gamification in gamified-testing,1,2025-04-17 07:38:10.228079
45,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,0,9,0,15,0,6,0,be.thibber.gamification.building.Parking,be.thibber.gamification in gamified-testing,1,2025-04-17 07:38:10.236992
46,caadbaac-e919-4b9b-b3a5-9d074d40493c,1,1,2,2,2,2,0,0,be.thibber.gamification.building.House,be.thibber.gamification in gamified-testing,1,2025-04-17 07:38:10.297547
