Identifiant,Demographic Horodateur,Année d'étude,Genre,Outils gamifiés déjà utilisés ?,Compétences java,Compétences en écriture de test,Motivation initiale à écrire des tests
9,17/04/2025 08:47:23,Passerelle,Homme,"Duolingo, Kahoot!",4,4,4
23,17/04/2025 08:47:58,Passerelle,Homme,"Duolingo, Kahoot!",4,4,3
39,17/04/2025 08:48:02,BAC 3,Homme,"Duolingo, Kahoot!",2,1,2
36,17/04/2025 08:48:03,Passerelle,Homme,"Duolingo, Kahoot!",4,3,4
8,17/04/2025 08:48:08,Passerelle,Homme,Duolingo,4,3,2
42,17/04/2025 08:48:15,BAC 3,Homme,"Duolingo, Kahoot!",2,2,1
47,17/04/2025 08:48:17,BAC 3,Homme,"Duolingo, Kahoot!, CodeCombat, GitHub Achievements",4,2,2
100,17/04/2025 08:48:18,BAC 3,Homme,Duolingo,2,1,3
92,17/04/2025 08:48:19,BAC 2,Femme,"Duolingo, Kahoot!",3,2,3
71,17/04/2025 08:48:21,Passerelle,Homme,"Duolingo, Kahoot!",4,3,2
119,17/04/2025 08:48:21,BAC 3,Femme,Duolingo,1,2,1
50,17/04/2025 08:48:21,BAC 3,Autre,,3,2,4
91,17/04/2025 08:48:23,BAC 3,Homme,"Duolingo, Kahoot!",2,3,1
81,17/04/2025 08:48:23,BAC 3,Homme,"Duolingo, Kahoot!",2,2,4
77,17/04/2025 08:48:24,BAC 3,Homme,Duolingo,2,2,1
31,17/04/2025 08:48:25,Passerelle,Homme,"Duolingo, Kahoot!",4,2,2
Selice,17/04/2025 08:48:26,BAC 3,Homme,"Duolingo, Kahoot!",1,2,2
68,17/04/2025 08:48:28,Passerelle,Homme,Duolingo,3,3,3
30,17/04/2025 08:48:34,Passerelle,Femme,,3,3,3
hicarlie,17/04/2025 08:48:34,BAC 3,Homme,"Duolingo, Kahoot!",3,2,1
83,17/04/2025 08:48:35,BAC 3,Homme,"Duolingo, Kahoot!",3,3,4
iessarhi,17/04/2025 08:48:37,BAC 3,Homme,"Duolingo, Kahoot!",3,2,1
48,17/04/2025 08:48:40,BAC 3,Homme,"Duolingo, Kahoot!",3,2,1
40,17/04/2025 08:48:40,BAC 3,Femme,Duolingo,2,2,1
70,17/04/2025 08:48:44,BAC 3,Homme,Codewars,3,3,3
96,17/04/2025 08:48:49,BAC 3,Homme,,2,2,1
26,17/04/2025 08:48:52,BAC 3,Homme,,2,1,2
3,17/04/2025 08:48:54,BAC 3,Homme,,2,3,3
54,17/04/2025 08:48:59,BAC 3,Homme,Duolingo,1,1,1
73,17/04/2025 08:49:05,BAC 3,Homme,Kahoot!,3,3,4
1,17/04/2025 08:49:09,BAC 3,Femme,"Duolingo, Kahoot!",3,3,4
67,17/04/2025 08:49:09,BAC 3,Femme,Duolingo,2,2,2
28,17/04/2025 08:49:10,BAC 3,Homme,"Duolingo, Kahoot!",2,1,3
86,17/04/2025 08:49:11,BAC 3,Femme,,3,2,4
107,17/04/2025 08:49:12,BAC 3,Homme,Duolingo,2,3,2
15,17/04/2025 08:49:14,BAC 3,Femme,"Duolingo, Kahoot!",3,1,2
104,17/04/2025 08:49:16,BAC 3,Homme,,3,3,3
32,17/04/2025 08:49:24,BAC 2,Homme,,3,3,2
72,17/04/2025 08:49:50,Passerelle,Homme,Duolingo,3,2,4
56,17/04/2025 08:50:01,Passerelle,Femme,GitHub Achievements,3,2,3
2,17/04/2025 08:50:26,Passerelle,Homme,"Duolingo, Kahoot!",3,1,1
35,17/04/2025 08:53:07,BAC 3,Homme,Duolingo,2,3,2
86,17/04/2025 09:31:47,BAC 3,Femme,,3,2,2
56,17/04/2025 09:32:26,Passerelle,Femme,GitHub Achievements,3,3,3
52,17/04/2025 09:32:30,BAC 3,Homme,"Duolingo, Kahoot!",3,2,1
