Action,Name,Points,GameMode,Timestamp
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:03:37.536
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:03:37.537
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:03:58.193
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:03:58.193
RefactorAddXAssertionsAchievement,Double check,4,ACHIEVEMENTS,2025-04-17 09:05:22.906
AddTestsAchievement,Safety First,4,ACHIEVEMENTS,2025-04-17 09:05:22.916
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:05:25.652
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:05:25.668
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:05:25.706
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:05:25.758
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:05:25.773
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:05:25.787
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:05:25.974
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:05:48.632
RefactorAddXAssertionsAchievement,Double check,4,ACHIEVEMENTS,2025-04-17 09:07:21.376
AddTestsAchievement,Safety First,2,ACHIEVEMENTS,2025-04-17 09:07:21.384
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:07:23.193
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:07:50.06
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:07:50.07
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:07:50.444
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:08:02.874
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:08:02.881
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:08:02.906
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:08:03.25
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:08:30.181
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:08:43.754
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:08:44.997
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:08:52.867
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:08:53.249
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:09:08.107
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:09:08.119
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:09:09.345
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:09:16.69
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:09:24.319
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:09:31.314
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:09:31.691
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:10:17.087
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:10:17.087
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:10:18.468
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:10:30.862
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:10:32.092
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:10:37.384
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:10:37.753
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:11:18.963
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:11:18.964
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:11:20.195
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:11:26.799
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:11:27.184
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:11:30.003
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:11:30.014
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:11:30.024
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:11:30.033
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:11:30.041
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:11:30.054
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:11:30.064
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:11:30.383
RunWithCoverageAchievement,Gotta Catch ’Em All,1,ACHIEVEMENTS,2025-04-17 09:11:30.385
CoverXLinesAchievement,Line-by-line,14,ACHIEVEMENTS,2025-04-17 09:11:30.48
CoverXMethodsAchievement,Check your methods,8,ACHIEVEMENTS,2025-04-17 09:11:30.486
CoverXClassesAchievement,Check your classes,1,ACHIEVEMENTS,2025-04-17 09:11:30.497
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:12:13.906
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:12:13.907
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:12:14.716
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:12:15.089
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:12:26.543
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:12:26.544
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:12:27.371
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:12:27.745
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:12:42.644
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:12:42.645
RefactorAddXAssertionsAchievement,Double check,2,ACHIEVEMENTS,2025-04-17 09:13:59.194
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:14:28.001
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:14:28.384
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:14:59.747
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:14:59.748
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:15:03.347
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:15:03.356
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:15:03.362
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:15:03.37
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:15:03.727
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:15:42.476
AddTestsAchievement,Safety First,2,ACHIEVEMENTS,2025-04-17 09:15:42.477
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:16:04.486
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:16:05.35
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:16:05.738
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:16:14.576
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:16:14.577
RefactorAddXAssertionsAchievement,Double check,2,ACHIEVEMENTS,2025-04-17 09:16:32.189
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:16:49.92
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:16:50.289
