Action,Name,Points,GameMode,Timestamp
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:06:23.478
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:10:00.627
RefactorAddXAssertionsAchievement,Double check,7,LEADERBOARD,2025-04-17 09:10:25.814
RefactorAddXAssertionsAchievement,Double check,7,LEADERBOARD,2025-04-17 09:10:33.148
RefactorAddXAssertionsAchievement,Double check,108,LEADERBOARD,2025-04-17 09:10:47.206
RefactorAddXAssertionsAchievement,Double check,3753,LEADERBOARD,2025-04-17 09:11:57.639
RefactorAddXAssertionsAchievement,Double check,706,LEADERBOARD,2025-04-17 09:15:22.547
RefactorAddXAssertionsAchievement,Double check,19062,LEADERBOARD,2025-04-17 09:15:46.944
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:17:56.084
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:18:22.182
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:18:22.195
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:18:33.076
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:22:35.118
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:22:35.119
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:22:57.189
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:22:57.19
