Action,Name,Points,GameMode,Timestamp
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-04-17 09:10:42.772
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:10:42.776
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-04-17 09:11:25.88
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:11:25.882
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:12:23.624
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:13:58.461
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:13:58.462
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-04-17 09:16:04.153
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:16:04.155
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:17:50.309
AddTestsAchievement,Safety First,2,LEADERBOARD,2025-04-17 09:17:50.311
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-04-17 09:18:41.826
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:19:35.036
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:19:35.037
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-04-17 09:26:10.168
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:26:10.87
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:26:23.364
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-04-17 09:28:30.316
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-04-17 09:28:30.33
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-04-17 09:28:30.586
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-04-17 09:28:30.77
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:28:31.088
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-04-17 09:36:27.312
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-04-17 09:36:51.974
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-04-17 09:37:43.094
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-04-17 09:38:42.536
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:40:27.678
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-04-17 09:41:14.38
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:41:58.918
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:43:03.339
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:44:16.728
RefactorAddXAssertionsAchievement,Double check,3,ACHIEVEMENTS,2025-04-17 09:45:22.328
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:45:22.382
AddTestsAchievement,Safety First,5,ACHIEVEMENTS,2025-04-17 09:45:55.807
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:45:55.864
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:45:55.866
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:45:55.911
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:45:55.955
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:45:56.011
TriggerXAssertsByTestsAchievement,Assert and Tested,3,ACHIEVEMENTS,2025-04-17 09:46:04.315
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:46:05.089
TriggerXAssertsByTestsAchievement,Assert and Tested,3,ACHIEVEMENTS,2025-04-17 09:47:21.067
