Action,Name,Points,GameMode,Timestamp
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:04:29.435
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:05:19.641
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:05:24.227
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:06:29.249
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-04-17 09:07:57.937
AddTestsAchievement,Safety First,2,LEADERBOARD,2025-04-17 09:07:57.938
RefactorAddXAssertionsAchievement,Double check,5,LEADERBOARD,2025-04-17 09:11:54.654
AddTestsAchievement,Safety First,2,LEADERBOARD,2025-04-17 09:11:54.655
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:11:57.595
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:12:35.427
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:15:23.011
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:15:23.012
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:15:44.19
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:17:57.299
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:19:05.773
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-04-17 09:22:02.802
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:22:18.178
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:22:18.19
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:24:02.901
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:24:04.744
