Action,Name,Points,GameMode,Timestamp
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:12:55.825
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:12:55.828
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:12:59.793
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:15:42.104
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:15:42.133
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:15:45.008
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:16:15.843
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:16:49.072
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:17:13.721
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:17:41.143
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:19:46.775
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:21:43.323
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:21:46.312
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:23:49.775
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:23:52.595
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:44:37.219
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:45:20.611
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:45:23.412
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:45:28.277
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:47:25.371
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:47:28.333
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:49:59.505
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:49:59.531
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:02.531
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:34.036
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:43.155
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:51:18.694
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:51:49.537
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:52:53.481
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:53:18.009
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:53:32.638
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:53:43.091
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:53:48.282
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:54:35.689
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:55:33.377
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:57:40.142
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:57:43.413
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:58:12.057
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:58:44.158
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:58:57.135
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:59:04.149
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:59:35.301
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:59:47.419
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 10:00:04.902
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 10:00:14.762
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 10:00:24.751
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 10:00:41.919
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 10:00:56.857
RefactorAddXAssertionsAchievement,Double check,4,ACHIEVEMENTS,2025-04-17 10:02:54.949
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 10:02:57.875
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 10:03:36.375
