Action,Name,Points,GameMode,Timestamp
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:04:32.221
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:09:09.271
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:09:20.431
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:10:23.031
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:16:36.188
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:19:40.47
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-04-17 09:26:00.616
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:26:00.617
RefactorAddXAssertionsAchievement,Double check,3,ACHIEVEMENTS,2025-04-17 09:44:55.633
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:44:55.664
RefactorAddXAssertionsAchievement,Double check,3,ACHIEVEMENTS,2025-04-17 09:45:02.714
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:45:02.744
RefactorAddXAssertionsAchievement,Double check,3,ACHIEVEMENTS,2025-04-17 09:46:41.356
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:46:41.381
RefactorAddXAssertionsAchievement,Double check,3,ACHIEVEMENTS,2025-04-17 09:46:48.792
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:46:48.81
RefactorAddXAssertionsAchievement,Double check,3,ACHIEVEMENTS,2025-04-17 09:46:52.177
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:46:52.18
RefactorAddXAssertionsAchievement,Double check,3,ACHIEVEMENTS,2025-04-17 09:46:55.54
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:46:55.542
RefactorAddXAssertionsAchievement,Double check,3,ACHIEVEMENTS,2025-04-17 09:46:59.977
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:46:59.98
RefactorAddXAssertionsAchievement,Double check,3,ACHIEVEMENTS,2025-04-17 09:47:05.813
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:47:05.814
RefactorAddXAssertionsAchievement,Double check,3,ACHIEVEMENTS,2025-04-17 09:47:07.987
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:47:08.007
RefactorAddXAssertionsAchievement,Double check,3,ACHIEVEMENTS,2025-04-17 09:47:11.771
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:47:11.774
RefactorAddXAssertionsAchievement,Double check,47,ACHIEVEMENTS,2025-04-17 09:48:01.844
RefactorAddXAssertionsAchievement,Double check,192,ACHIEVEMENTS,2025-04-17 09:48:15.486
RefactorAddXAssertionsAchievement,Double check,576,ACHIEVEMENTS,2025-04-17 09:48:24.905
RefactorAddXAssertionsAchievement,Double check,240,ACHIEVEMENTS,2025-04-17 09:48:29.201
RefactorAddXAssertionsAchievement,Double check,3,ACHIEVEMENTS,2025-04-17 09:49:35.526
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:49:35.544
