Action,Name,Points,GameMode,Timestamp
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:15:18.152
RefactorAddXAssertionsAchievement,Double check,8,ACHIEVEMENTS,2025-04-17 09:20:36.435
AddTestsAchievement,Safety First,4,ACHIEVEMENTS,2025-04-17 09:20:36.491
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:24:50.095
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:24:50.098
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:24:50.2
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:24:50.232
RefactorAddXAssertionsAchievement,Double check,10,ACHIEVEMENTS,2025-04-17 09:34:28.358
AddTestsAchievement,Safety First,7,ACHIEVEMENTS,2025-04-17 09:34:28.389
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:54:01.006
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:54:01.007
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:54:01.007
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:54:01.008
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:54:01.008
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:54:01.189
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:54:01.189
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:54:01.19
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:54:01.191
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:54:01.192
RefactorAddXAssertionsAchievement,Double check,6,LEADERBOARD,2025-04-17 09:58:21.873
AddTestsAchievement,Safety First,6,LEADERBOARD,2025-04-17 09:58:21.876
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 10:07:27.432
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 10:07:27.462
