Action,Name,Points,GameMode,Timestamp
RefactorAddXAssertionsAchievement,Double check,11,ACHIEVEMENTS,2025-04-17 09:08:51.846
AddTestsAchievement,Safety First,4,ACHIEVEMENTS,2025-04-17 09:08:51.881
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:10:34.46
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:11:30.379
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:12:59.015
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:12:59.034
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:12:59.035
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:12:59.073
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:12:59.081
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:14:24.392
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:16:13.621
RefactorAddXAssertionsAchievement,Double check,4,ACHIEVEMENTS,2025-04-17 09:18:51.466
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:18:51.467
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:24:50.011
