user,group,session,game_mode,timestamp,survived,killed,mutants_count,mutation_coverage
0d271530-be17-4538-bf04-dde3c6069b5f,A,1,achievements,2025-04-17 09:25:49.752000+02:00,97,19,116,0.16379310344827586
0d271530-be17-4538-bf04-dde3c6069b5f,A,2,leaderboard,2025-04-17 10:07:37.190000+02:00,84,32,116,0.11206896551724138
11b1644a-d11f-45cb-8a40-282a209059c0,A,1,achievements,2025-04-17 09:26:18.184000+02:00,87,29,116,0.25
11b1644a-d11f-45cb-8a40-282a209059c0,A,2,leaderboard,2025-04-17 10:07:31.004000+02:00,68,48,116,0.16379310344827586
223bf16c-aaad-404f-8a47-61f3ced741e4,A,1,achievements,2025-04-17 09:26:01.215000+02:00,108,8,116,0.06896551724137931
223bf16c-aaad-404f-8a47-61f3ced741e4,A,2,leaderboard,2025-04-17 10:06:56.843000+02:00,106,10,116,0.017241379310344834
2b2965f7-5d66-4569-802b-27c84aa69bff,B,1,leaderboard,2025-04-17 09:24:52.114000+02:00,112,4,116,0.034482758620689655
2b2965f7-5d66-4569-802b-27c84aa69bff,B,2,achievements,2025-04-17 10:05:03.689000+02:00,110,6,116,0.017241379310344827
60716858-6fcb-4953-88e3-12a51b3c7c47,B,1,leaderboard,2025-04-17 09:24:21.034000+02:00,112,4,116,0.034482758620689655
60716858-6fcb-4953-88e3-12a51b3c7c47,B,2,achievements,2025-04-17 10:05:22.289000+02:00,112,4,116,0.0
64330b4a-8b12-4c91-9b78-5942c1b9325f,B,1,leaderboard,2025-04-17 09:30:32.138000+02:00,108,8,116,0.06896551724137931
64330b4a-8b12-4c91-9b78-5942c1b9325f,B,2,achievements,2025-04-17 10:06:34.682000+02:00,89,27,116,0.16379310344827586
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,A,1,achievements,2025-04-17 09:25:49.745000+02:00,108,8,116,0.06896551724137931
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,A,2,leaderboard,2025-04-17 10:06:48.693000+02:00,97,19,116,0.09482758620689655
70e85b5e-92d4-498a-9079-ba881f5b3b82,B,1,leaderboard,2025-04-17 09:24:22.643000+02:00,97,19,116,0.16379310344827586
70e85b5e-92d4-498a-9079-ba881f5b3b82,B,2,achievements,2025-04-17 10:05:30.372000+02:00,84,32,116,0.11206896551724138
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,B,1,leaderboard,2025-04-17 09:24:12.395000+02:00,96,20,116,0.1724137931034483
7b25b9f2-5d8e-401e-aefa-ac31e94575d1,B,2,achievements,2025-04-17 10:05:04.790000+02:00,88,28,116,0.06896551724137931
a7c1124d-d4fc-4fc7-bb6f-b73e2f1b7fdd,A,1,achievements,2025-04-17 09:30:06.028000+02:00,108,8,116,0.06896551724137931
a7c1124d-d4fc-4fc7-bb6f-b73e2f1b7fdd,A,2,leaderboard,2025-04-17 10:07:43.975000+02:00,101,15,116,0.060344827586206906
b39dc415-9bb6-4d5d-a8f9-30fd61f6a594,A,1,achievements,2025-04-17 09:25:54.925000+02:00,116,0,116,0.0
b39dc415-9bb6-4d5d-a8f9-30fd61f6a594,A,2,leaderboard,2025-04-17 10:06:52.695000+02:00,116,0,116,0.0
ca639c6f-a4d1-464c-9b8b-0351617a59b5,B,1,leaderboard,2025-04-17 09:24:33.923000+02:00,112,4,116,0.034482758620689655
ca639c6f-a4d1-464c-9b8b-0351617a59b5,B,2,achievements,2025-04-17 10:05:02.474000+02:00,102,14,116,0.08620689655172414
caadbaac-e919-4b9b-b3a5-9d074d40493c,A,1,achievements,2025-04-17 09:25:50.964000+02:00,94,22,116,0.1896551724137931
caadbaac-e919-4b9b-b3a5-9d074d40493c,A,2,leaderboard,2025-04-17 10:07:10.320000+02:00,85,31,116,0.07758620689655171
d65a1736-2d35-44e8-bf24-d1fd976c741f,A,1,achievements,2025-04-17 09:52:25.973000+02:00,111,5,116,0.04310344827586207
d65a1736-2d35-44e8-bf24-d1fd976c741f,A,2,leaderboard,2025-04-17 10:07:00.722000+02:00,80,36,116,0.26724137931034486
eed81e54-2343-44af-ab2f-cd062db7e11a,B,1,leaderboard,2025-04-17 09:24:20.758000+02:00,106,10,116,0.08620689655172414
eed81e54-2343-44af-ab2f-cd062db7e11a,B,2,achievements,2025-04-17 10:05:18.858000+02:00,91,25,116,0.1293103448275862
f9ec833e-db4f-49b9-9b14-08298cbb4425,B,1,leaderboard,2025-04-17 09:25:10.703000+02:00,116,0,116,0.0
f9ec833e-db4f-49b9-9b14-08298cbb4425,B,2,achievements,2025-04-17 10:05:10.841000+02:00,107,9,116,0.07758620689655173
