user,count
11b1644a-d11f-45cb-8a40-282a209059c0,9497
0d271530-be17-4538-bf04-dde3c6069b5f,384
caadbaac-e919-4b9b-b3a5-9d074d40493c,278
eed81e54-2343-44af-ab2f-cd062db7e11a,109
674eeeb6-2534-419d-8965-63e4400f60c4,72
70c71a91-06a1-4bf4-8e56-f4327b1c8b3f,56
223bf16c-aaad-404f-8a47-61f3ced741e4,55
fb270a09-6a45-4eae-8f9a-3c808faec3ee,31
1f06f352-91b6-4373-87ed-5a5070723efb,24
64330b4a-8b12-4c91-9b78-5942c1b9325f,22
465777bf-b8f8-4dbe-b99e-7e1c208be8dc,18
a7c1124d-d4fc-4fc7-bb6f-b73e2f1b7fdd,17
4d14cb87-b95e-4575-8823-f951391a3e6a,12
f9ec833e-db4f-49b9-9b14-08298cbb4425,10
f08453ce-2b6e-40e4-a0b4-0c37218608fa,9
