user,created_at,last_update,group,uploads_count,activity_count
b0ce21ef-0c91-4be3-8aed-9bd1062ce0bf,2025-04-17 11:36:13.931764+02:00,2025-04-17 11:36:13.931764+02:00,Inconnu,0,0.0
1d20c70c-aa71-49ff-abf5-6013870a28f8,2025-04-17 09:09:34.466356+02:00,2025-04-17 10:15:15.091865+02:00,A,3,3.0
11555248-3f01-4d1c-9a71-ef7caf9150fa,2025-04-17 09:11:51.549595+02:00,2025-04-17 09:22:39.426644+02:00,B,1,4.0
1fc23e66-121e-450a-86ba-d109bc64b9bb,2025-04-17 09:29:20.120754+02:00,2025-04-17 09:29:20.120754+02:00,Inconnu,0,0.0
a980dad5-6719-44ac-a40e-4c0b35663e68,2025-04-17 09:03:18.189337+02:00,2025-04-17 09:29:46.502182+02:00,A,3,24.0
ff65b446-d728-4f12-98a8-c63529c589ba,2025-04-17 09:09:13.035705+02:00,2025-04-17 09:59:42.521138+02:00,A,0,13.0
afb0f9dc-6acf-48cd-a0e1-032f5df9366f,2025-04-17 09:03:07.158631+02:00,2025-04-17 09:22:58.240005+02:00,B,0,13.0
72b5701e-d26c-49cb-a91b-6a3249246495,2025-04-17 09:44:55.448631+02:00,2025-04-17 09:44:55.448631+02:00,B,0,21.0
9af94b6b-259c-4799-8c79-5960311627bf,2025-04-17 09:05:48.107934+02:00,2025-04-17 09:24:40.808968+02:00,A,4,13.0
f08453ce-2b6e-40e4-a0b4-0c37218608fa,2025-04-17 09:02:59.461322+02:00,2025-04-17 10:04:21.118507+02:00,A,3,14.0
db05d465-5823-4bdd-b3b8-55eb42642552,2025-04-17 09:02:50.088437+02:00,2025-04-17 09:25:30.381074+02:00,A,0,11.0
7234f6dc-a316-4576-8453-6e10d7cf1c3d,2025-04-17 09:02:56.840758+02:00,2025-04-17 10:04:28.202281+02:00,A,0,47.0
fb270a09-6a45-4eae-8f9a-3c808faec3ee,2025-04-17 09:03:18.880723+02:00,2025-04-17 09:36:12.760279+02:00,B,0,81.0
3e58c347-cdf0-4139-93e0-1adf144753c4,2025-04-17 09:08:48.927970+02:00,2025-04-17 10:09:43.845548+02:00,A,4,21.0
