Identifiant,group,Demographic Horodateur,D-Année d'étude,D-Genre,D-Outils gamifiés déjà utilisés ?,D-Compétences java,D-Compétences en écriture de test,D-Motivation initiale à écrire des tests,Achievements Horodateur,A-Facilité d'utilisation du mode achievements,A-Avis sur l'utilisation des achievements,A-Ressenti lors de l'utilisation des achievements ?,A-Ressenti après avoir utilisé les achievements,A-J'ai été distrait·e à cause des achievements pendant que j'écrivais mes tests ?,A-Motivation à écrire des tests avec le système d'achievements,A-Fréquence de consultation des achievements durant l'évaluation,A-Le système d'achievement m'incite à écrire plus de tests,A-Le système d'achievement me permet de voir les points faibles de mes tests,"A-Votre intérêt pour un système gamifié avec uniquement des achievements diminuerait-il au fil du temps (plusieurs semaines/mois/années) ?
(Sentiment de lassitude)",Leaderboard Horodateur,L-Facilité d'utilisation du mode leaderboard,L-Avis sur l'utilisation du leaderboard,L-Ressenti lors de l'utilisation du leaderboard,L-Ressenti après avoir utilisé le leaderboard,L-J'ai été distrait·e à cause du leaderboard pendant que j'écrivais mes tests ?,L-Motivation à écrire des tests avec le système de leaderboard,L-Fréquence de consultation du leaderboard durant l'évaluation,L-Le système de leaderboard m'incite à écrire plus de tests,L-Le système de leaderboard me permet de voir les points faibles de mes tests,"L-Votre intérêt pour un système gamifié avec uniquement un leaderboard diminuerait-il au fil du temps (plusieurs semaines/mois/années) ?
(Sentiment de lassitude)",Satisfaction Horodateur,"S-Après avoir utilisé le plugin,  j'évalue mes compétences en écriture de test","S-Après avoir utilisé le plugin, j'évalue ma motivation à écrire des tests",S-Système préféré,"S-Clarté des règles du jeu (achievements, leaderboard)",S-Design et intégration dans IntelliJ,"S-Selon vous, quel mode est le plus fun ?",S-Le système de points et de progression vous a-t-il semblé juste ?,"S-J'ai été tenté d'écrire plus de tests pour augmenter mes points, même si les tests ne sont pas spécialement pertinents","S-Seriez-vous intéressé·e par l'utilisation d'outils gamifiés durant certains cours ?
(Vérification et Validation, Génie Logiciel, ..)","S-Quel mode j'ai envie d'utiliser dans un cours où je peux être confronté à du test logiciel ? 
(Vérification et Validation, Génie Logiciel, ..)",S-Donner 3 points positifs du plugin,S-Donner 3 points négatifs du plugin,S-Donner 3 améliorations à apporter au plugin
9,A,2025-04-17 08:47:23,Passerelle,Homme,"Duolingo, Kahoot!",4,4,4,2025-04-17 09:32:41,4,4,2,5,3,5,6 à 10 fois,4,2,4,2025-04-17 10:08:54,3,4,4,4,2,5,Jamais,4,2,4,2025-04-17 10:16:07,4,4,Leaderboard,4,5,2,Oui,2,2,3,"Belle intégration, chouette concept, jolie UI","Le leaderboard ne s’est pas affiché pendant tout un moment, difficulté à trouver le bon zip, augmenter les points juste en lançant les tests c’est trop facile","Bouton pour actualiser le leaderboard, améliorer la visibilité de la release"
23,A,2025-04-17 08:47:58,Passerelle,Homme,"Duolingo, Kahoot!",4,4,3,2025-04-17 09:32:42,4,3,3,3,4,3,1 à 5 fois,4,4,3,2025-04-17 10:09:59,2,4,2,4,3,4,1 à 5 fois,3,3,3,2025-04-17 10:16:29,4,3,Achievements,3,3,5,Non,4,5,5,"Donne un but (récompense) à la création de test unitaire qui a la base est pas forcément quelques chose de fun.
Bonne division des achievenements.
Le leardbord en ""direct"" donne envie de se surpasser pour augmenter son score","Calcul des points à retravailler, j'ai reçu des points en relancer 2 fois le même test sans y apporter de changement.
Manque de clarté sur l'attribution des points du leaderbord ","Vérifier le calcul des points du leaderbord me semble que je gagnais des points en boucle sans aucune raison.
Je sais pas trop si c'est possible avec inttelij mais changer le système, les notif spam trop et le plugin est soit trop petit soit prend trop de place suivant ou on le met sur l'écran "
36,B,2025-04-17 08:48:03,Passerelle,Homme,"Duolingo, Kahoot!",4,3,4,2025-04-17 10:07:39,2,3,4,3,4,3,6 à 10 fois,4,4,4,2025-04-17 09:30:54,1,4,4,5,2,4,6 à 10 fois,5,1,4,2025-04-17 10:15:08,4,4,Achievements,4,4,4,Non,1,4,5,"Fun, stimulant, bien intégré","Buggé (achievements qui ne se valident pas injustement, développeur qui a beaucoup de trop de points dans le leaderboard d'un instant à l'autre), durée de vie douteuse (fin des achievements ou collègue trop chaud sur le leaderboard / qui triche), système de connexion constante un peu contraignant (si on est déconnecté sans s'en rendre compte, rien n'est enregistré), certains achievements trop faciles à ""craquer"" en faisant tourner les mêmes suites de test plein de fois ","Améliorer le système de connexion (une seule connexion à l'ouverture par exemple pour récupérer les dernières données, puis hors ligne)
Résolution des bugs
Conception des achievements pour ne pas pouvoir les craquer trop facilement
Reset récurrent des leaderboards ou autre système permettant à tout le monde de viser la première place"
8,B,2025-04-17 08:48:08,Passerelle,Homme,Duolingo,4,3,2,2025-04-17 10:07:55,2,3,2,3,1,2,1 à 5 fois,4,3,3,2025-04-17 09:31:03,5,3,2,5,2,3,J'ai consulté les achievements tout le long de l'évaluation,5,1,3,2025-04-17 10:15:53,4,4,Leaderboard,5,4,1,Non,2,2,3,"Clair
Facile à prendre en main
Ludique","Trop d'achèvements
J'ai eu le sentiment de ne pas progresser dans les achievements quand je corrigeais des bugs, alors que je progressais plus rapidement quand je faisais des tests ""débiles""
Leaderboard frustrant quand les gens trichent ","Moins d'achèvements (de 1 à 3 par catégories)
Récompenser les corrections de bugs
Empêcher les gens de tricher (en spammant les copier coller,...)"
42,B,2025-04-17 08:48:15,BAC 3,Homme,"Duolingo, Kahoot!",2,2,1,2025-04-17 10:07:57,2,3,3,3,1,3,Je ne sais pas dire,5,4,2,2025-04-17 09:33:54,1,5,3,2,1,4,11 à 15 fois,3,4,4,2025-04-17 10:14:45,2,1,Leaderboard,2,5,1,Non,5,5,1,Bien implémenté / amusant / sympa et cool ,Score mal foutu / difficulté d’implémenter le plugin ( zip mais pas le zip ) / plus d’indice pour aider ,Le score car possibilité de dupliquer son score / mettre plus d’indice car on peut être bloquer ou mode apprentissage ?? / améliorer le déploiement du plugin car pas mal de soucis avec le zip 
47,A,2025-04-17 08:48:17,BAC 3,Homme,"Duolingo, Kahoot!, CodeCombat, GitHub Achievements",4,2,2,2025-04-17 09:32:40,2,4,2,4,3,4,1 à 5 fois,4,2,3,2025-04-17 10:09:00,1,4,2,4,3,4,1 à 5 fois,4,2,2,2025-04-17 10:14:56,3,4,Achievements,5,5,2,Non,2,5,5,"Pratique, pas compliqué a installé, motivant ","Des gens trichants en réécrivant plusieurs fois le même tests, compte les tests parfois trop simples, j’ai dû me reconnecter qql fois en plus","D’empêcher la triche, et rien de plus "
100,B,2025-04-17 08:48:18,BAC 3,Homme,Duolingo,2,1,3,2025-04-17 10:07:51,2,4,2,4,1,3,J'ai consulté les achievements tout le long de l'évaluation,3,3,2,2025-04-17 09:31:16,2,4,3,4,1,4,1 à 5 fois,4,3,4,2025-04-17 10:15:59,1,4,Leaderboard,5,5,2,Oui,5,4,4,"Facile d'utilisation, Amusant, Motivant","On peut executer plusieurs fois le même test pour augmenter son score, la metriques de score pour le leaderboard n'est pas très représentative","Pour chacun des types de tests évalués, Donner une petite explication de comment les implémenter en JUnit"
92,B,2025-04-17 08:48:19,BAC 2,Femme,"Duolingo, Kahoot!",3,2,3,2025-04-17 10:07:11,1,5,1,4,3,5,1 à 5 fois,5,4,3,2025-04-17 09:32:22,2,4,4,3,1,4,1 à 5 fois,4,1,3,2025-04-17 10:16:17,1,4,Achievements,2,5,5,Oui,2,5,5,"Visualisation de la progression, Temps de prise en charge court, Plus amusant à utiliser","Je ne comprends pas toujours comment les points sont attribués, Ni les points évalués, ","Critères plus descriptifs, Liens éventuels vers morceaux de théorie/explication/exemples (ex dans la description de coverage on trouve un lien vers un morceau d’explication de la matière,…)"
71,A,2025-04-17 08:48:21,Passerelle,Homme,"Duolingo, Kahoot!",4,3,2,2025-04-17 09:34:22,4,3,3,3,3,3,6 à 10 fois,4,3,4,2025-04-17 10:09:24,4,4,3,3,4,2,6 à 10 fois,1,1,5,2025-04-17 10:16:14,3,4,Achievements,4,4,5,Non,3,5,4,"Assez simple d'utilisation,
Plutôt intuitive
Plutôt fun","Tout ce qui est ajouts des points en run des t'est est un peu ennuyeux car tu peux run les t'est juste pour gagner des points
Leaderboard n'est pas utilisable si plusieurs utilisateurs (reload de la page à chaque fois donc pour voir son score c'est compliqué)
J'imagine que pour le mode achievement, c'était une implémentation des requirements en dur, pas applicable dans un nouveau projet ?",Voir points négatifs
119,A,2025-04-17 08:48:21,BAC 3,Femme,Duolingo,1,2,1,2025-04-17 09:33:37,2,2,2,3,1,1,Jamais,3,3,3,2025-04-17 10:09:37,1,3,2,3,1,3,Jamais,3,1,3,2025-04-17 10:12:50,2,2,Achievements,2,4,5,Oui,1,5,5,C’est encourageant,Il n’y a pas de consignes definies,Mettre plus de consignes 
