GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gamified-testing,be.thibber.gamification.exceptions,FullParkingException,4,0,0,0,2,0,1,0,1,0
gamified-testing,be.thibber.gamification,Person,13,0,0,0,6,0,3,0,3,0
gamified-testing,be.thibber.gamification,Coords,72,0,0,0,18,0,8,0,8,0
gamified-testing,be.thibber.gamification,Road,32,0,0,0,12,0,6,0,6,0
gamified-testing,be.thibber.gamification,City,126,41,13,3,27,13,13,5,6,4
gamified-testing,be.thibber.gamification,PolyLine,120,0,14,0,26,0,14,0,7,0
gamified-testing,be.thibber.gamification.building,House,12,0,0,0,3,0,2,0,2,0
gamified-testing,be.thibber.gamification.building,Building,14,28,1,1,4,12,4,4,3,4
gamified-testing,be.thibber.gamification.building,Parking,74,0,6,0,18,0,12,0,9,0
gamified-testing,be.thibber.gamification.vehicle,Vehicle,73,0,8,0,21,0,12,0,8,0
gamified-testing,be.thibber.gamification.vehicle,Car,101,0,10,0,32,0,16,0,11,0
