GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gamified-testing,be.thibber.gamification.exceptions,FullParkingException,4,0,0,0,2,0,1,0,1,0
gamified-testing,be.thibber.gamification,Person,13,0,0,0,6,0,3,0,3,0
gamified-testing,be.thibber.gamification,Coords,55,17,0,0,10,8,5,3,5,3
gamified-testing,be.thibber.gamification,Road,0,32,0,0,0,12,0,6,0,6
gamified-testing,be.thibber.gamification,City,167,0,16,0,40,0,18,0,10,0
gamified-testing,be.thibber.gamification,PolyLine,104,16,12,2,20,6,12,2,5,2
gamified-testing,be.thibber.gamification.building,House,12,0,0,0,3,0,2,0,2,0
gamified-testing,be.thibber.gamification.building,Building,42,0,2,0,16,0,8,0,7,0
gamified-testing,be.thibber.gamification.building,Parking,74,0,6,0,18,0,12,0,9,0
gamified-testing,be.thibber.gamification.vehicle,Vehicle,55,18,7,1,13,8,9,3,5,3
gamified-testing,be.thibber.gamification.vehicle,Car,101,0,10,0,32,0,16,0,11,0
