GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gamified-testing,be.thibber.gamification.exceptions,FullParkingException,4,0,0,0,2,0,1,0,1,0
gamified-testing,be.thibber.gamification,Person,13,0,0,0,6,0,3,0,3,0
gamified-testing,be.thibber.gamification,Coords,32,40,0,0,7,11,2,6,2,6
gamified-testing,be.thibber.gamification,Road,18,14,0,0,6,6,4,2,4,2
gamified-testing,be.thibber.gamification,City,0,167,2,14,0,40,2,16,0,10
gamified-testing,be.thibber.gamification,PolyLine,73,47,10,4,16,10,10,4,4,3
gamified-testing,be.thibber.gamification.building,House,12,0,0,0,3,0,2,0,2,0
gamified-testing,be.thibber.gamification.building,Building,11,31,1,1,3,13,3,5,2,5
gamified-testing,be.thibber.gamification.building,Parking,47,27,5,1,9,9,9,3,6,3
gamified-testing,be.thibber.gamification.vehicle,Vehicle,73,0,8,0,21,0,12,0,8,0
gamified-testing,be.thibber.gamification.vehicle,Car,96,0,10,0,31,0,16,0,11,0
