Timestamp,Safety FirstLevel,Check your branchesLevel,Check your classesLevel,Line-by-lineLevel,Check your methodsLevel,Bug FinderLevel,Class Reviewer - BranchesLevel,Class Reviewer - LinesLevel,Class Reviewer - MethodsLevel,Double checkLevel,Shine in new splendourLevel,The Method ExtractorLevel,The Method InlinerLevel,The EponymLevel,Test FixerLevel,Gotta Catch ’Em AllLevel,The TesterLevel,The Tester - AdvancedLevel,Assert and TestedLevel,Safety FirstProgress,Check your branchesProgress,Check your classesProgress,Line-by-lineProgress,Check your methodsProgress,Bug FinderProgress,Class Reviewer - BranchesProgress,Class Reviewer - LinesProgress,Class Reviewer - MethodsProgress,Double checkProgress,Shine in new splendourProgress,The Method ExtractorProgress,The Method InlinerProgress,The EponymProgress,Test FixerProgress,Gotta Catch ’Em AllProgress,The TesterProgress,The Tester - AdvancedProgress,Assert and TestedProgress
2025-04-17 09:05:41.793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2025-04-17 09:05:41.794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2025-04-17 09:05:42.647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2025-04-17 09:05:43.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
2025-04-17 09:06:43.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
2025-04-17 09:07:05.802,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1
2025-04-17 09:07:06.723,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,3
2025-04-17 09:07:07.108,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,3
2025-04-17 09:07:28.747,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,3
2025-04-17 09:07:28.752,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,3
2025-04-17 09:07:29.648,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,5
2025-04-17 09:07:30.02,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,5
2025-04-17 09:08:00.581,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,5
2025-04-17 09:08:26.002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,5
2025-04-17 09:11:29.292,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,6
2025-04-17 09:11:29.673,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,6
2025-04-17 09:12:07.639,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,6
2025-04-17 09:12:07.648,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,6
2025-04-17 09:12:54.51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,7
2025-04-17 09:12:54.889,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,7
2025-04-17 09:13:06.731,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,8
2025-04-17 09:13:06.765,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,10
2025-04-17 09:13:06.791,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,12
2025-04-17 09:13:06.818,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,13
2025-04-17 09:13:07.107,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,13
2025-04-17 09:13:11.122,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,14
2025-04-17 09:13:11.139,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,16
2025-04-17 09:13:11.168,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,18
2025-04-17 09:13:11.203,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,6,0,19
2025-04-17 09:13:11.505,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,7,0,19
2025-04-17 09:14:05.878,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,7,0,19
