Action,Name,Points,GameMode,Timestamp
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-04-17 09:11:24.758
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:11:24.759
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:11:39.195
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-04-17 09:12:06.379
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-04-17 09:13:54.526
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:13:54.527
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-04-17 09:14:49.77
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-04-17 09:15:13.035
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:15:13.035
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-04-17 09:23:00.585
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:23:00.586
