Action,Name,Points,GameMode,Timestamp
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:06:23.478
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:10:00.627
RefactorAddXAssertionsAchievement,Double check,7,LEADERBOARD,2025-04-17 09:10:25.814
RefactorAddXAssertionsAchievement,Double check,7,LEADERBOARD,2025-04-17 09:10:33.148
RefactorAddXAssertionsAchievement,Double check,108,LEADERBOARD,2025-04-17 09:10:47.206
RefactorAddXAssertionsAchievement,Double check,3753,LEADERBOARD,2025-04-17 09:11:57.639
RefactorAddXAssertionsAchievement,Double check,706,LEADERBOARD,2025-04-17 09:15:22.547
RefactorAddXAssertionsAchievement,Double check,19062,LEADERBOARD,2025-04-17 09:15:46.944
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:17:56.084
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:18:22.182
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:18:22.195
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:18:33.076
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:22:35.118
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:22:35.119
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:22:57.189
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:22:57.19
RefactorAddXAssertionsAchievement,Double check,772,LEADERBOARD,2025-04-17 09:27:05.312
AddTestsAchievement,Safety First,579,LEADERBOARD,2025-04-17 09:27:05.314
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:27:05.377
RefactorAddXAssertionsAchievement,Double check,1292,LEADERBOARD,2025-04-17 09:27:44.366
AddTestsAchievement,Safety First,969,LEADERBOARD,2025-04-17 09:27:44.371
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:27:47.924
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:27:47.925
RefactorAddXAssertionsAchievement,Double check,8152,LEADERBOARD,2025-04-17 09:28:47.346
AddTestsAchievement,Safety First,6118,LEADERBOARD,2025-04-17 09:28:47.369
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:34:25.132
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:34:46.061
RefactorAddXAssertionsAchievement,Double check,4,ACHIEVEMENTS,2025-04-17 09:46:03.293
AddTestsAchievement,Safety First,4,ACHIEVEMENTS,2025-04-17 09:46:03.321
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:46:42.471
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:47:07.046
RunWithCoverageAchievement,Gotta Catch ’Em All,1,ACHIEVEMENTS,2025-04-17 09:47:07.062
CoverXLinesAchievement,Line-by-line,6,ACHIEVEMENTS,2025-04-17 09:47:07.322
CoverXMethodsAchievement,Check your methods,4,ACHIEVEMENTS,2025-04-17 09:47:07.354
CoverXClassesAchievement,Check your classes,1,ACHIEVEMENTS,2025-04-17 09:47:07.419
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:48:05.682
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:49:46.303
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:49:57.004
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:49:58.903
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:01.186
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:03.355
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:05.222
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:06.361
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:08.099
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:10.648
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:12.21
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:13.26
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:15.754
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:19.621
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:24.13
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:25.966
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:28.163
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:30.023
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:32.235
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:34.223
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:38.023
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:40.065
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:42.245
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:44.987
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:47.233
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:49.69
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:52.048
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:54.419
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:56.877
