Action,Name,Points,GameMode,Timestamp
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:08:06.267
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:08:06.301
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:08:06.303
TriggerXAssertsByTestsAchievement,Assert and Tested,0,ACHIEVEMENTS,2025-04-17 09:09:17.079
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:09:17.428
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:09:28.624
TriggerXAssertsByTestsAchievement,Assert and Tested,0,ACHIEVEMENTS,2025-04-17 09:10:28.677
TriggerXAssertsByTestsAchievement,Assert and Tested,0,ACHIEVEMENTS,2025-04-17 09:10:28.705
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:10:29.048
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:11:17.243
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:11:32.262
TriggerXAssertsByTestsAchievement,Assert and Tested,0,ACHIEVEMENTS,2025-04-17 09:11:39.84
TriggerXAssertsByTestsAchievement,Assert and Tested,0,ACHIEVEMENTS,2025-04-17 09:11:39.861
TriggerXAssertsByTestsAchievement,Assert and Tested,0,ACHIEVEMENTS,2025-04-17 09:11:39.902
TriggerXAssertsByTestsAchievement,Assert and Tested,0,ACHIEVEMENTS,2025-04-17 09:11:39.946
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:11:40.194
RefactorAddXAssertionsAchievement,Double check,4,ACHIEVEMENTS,2025-04-17 09:12:26.776
TriggerXAssertsByTestsAchievement,Assert and Tested,0,ACHIEVEMENTS,2025-04-17 09:12:36.963
TriggerXAssertsByTestsAchievement,Assert and Tested,0,ACHIEVEMENTS,2025-04-17 09:12:37.003
TriggerXAssertsByTestsAchievement,Assert and Tested,0,ACHIEVEMENTS,2025-04-17 09:12:37.081
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:12:37.335
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:13:08.83
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:13:24.32
TriggerXAssertsByTestsAchievement,Assert and Tested,0,ACHIEVEMENTS,2025-04-17 09:13:39.411
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:13:39.759
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:13:53.489
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:13:57.334
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:14:23.617
RefactorAddXAssertionsAchievement,Double check,2,ACHIEVEMENTS,2025-04-17 09:15:09.204
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:15:12.92
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:15:18.119
RunWithCoverageAchievement,Gotta Catch ’Em All,1,ACHIEVEMENTS,2025-04-17 09:15:18.127
CoverXLinesAchievement,Line-by-line,7,ACHIEVEMENTS,2025-04-17 09:15:18.532
CoverXMethodsAchievement,Check your methods,5,ACHIEVEMENTS,2025-04-17 09:15:18.551
CoverXClassesAchievement,Check your classes,1,ACHIEVEMENTS,2025-04-17 09:15:18.598
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:16:37.424
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:16:37.426
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:17:48.219
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:19:32.136
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:19:32.485
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:21:00.691
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:21:00.796
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:21:00.91
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:21:00.942
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:21:01.049
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:21:31.026
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:22:00.731
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:22:01.081
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:22:21.794
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:22:22.137
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:22:31.818
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:22:32.161
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:23:05.188
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:23:14.153
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:23:22.775
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:23:29.749
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:23:30.094
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:24:15.084
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:24:15.429
RefactorAddXAssertionsAchievement,Double check,1,ACHIEVEMENTS,2025-04-17 09:24:25.006
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:24:28.192
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:24:28.545
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:25:27.137
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:25:27.493
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:26:26.226
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:26:26.283
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:26:26.391
TriggerXAssertsByTestsAchievement,Assert and Tested,1,ACHIEVEMENTS,2025-04-17 09:26:26.478
TriggerXAssertsByTestsAchievement,Assert and Tested,2,ACHIEVEMENTS,2025-04-17 09:26:26.543
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:26:26.587
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-04-17 09:46:44.507
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-04-17 09:46:44.514
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-04-17 09:46:44.521
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-04-17 09:46:44.525
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-04-17 09:46:44.531
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:46:44.87
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-04-17 09:46:53.462
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-04-17 09:46:53.483
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-04-17 09:46:53.56
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-04-17 09:46:53.593
