Action,Name,Points,GameMode,Timestamp
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:01:51.757
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:01:51.759
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:01:59.236
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:04:06.012
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:04:06.013
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:04:09.259
RunWithCoverageAchievement,Gotta Catch ’Em All,1,LEADERBOARD,2025-04-17 09:04:09.267
CoverXLinesAchievement,Line-by-line,4,LEADERBOARD,2025-04-17 09:04:16.166
CoverXMethodsAchievement,Check your methods,3,LEADERBOARD,2025-04-17 09:04:16.166
CoverXClassesAchievement,Check your classes,1,LEADERBOARD,2025-04-17 09:04:16.166
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:04:37.727
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:05:34.841
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:05:34.841
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:06:11.186
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:06:17.123
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:06:23.808
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:06:29.825
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:07:01.409
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:08:34.949
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:08:34.949
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:08:40.084
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:08:55.275
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:09:09.041
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:09:24.883
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:09:24.883
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:09:43.7
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:11:11.342
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:11:11.342
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:11:15.763
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:12:20.766
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:14:00.519
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:14:00.519
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:14:08.377
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:14:25.113
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:15:02.155
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:15:02.155
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:16:06.112
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:16:13.874
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:16:19.168
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:16:23.723
RunWithCoverageAchievement,Gotta Catch ’Em All,1,LEADERBOARD,2025-04-17 09:16:23.726
CoverXLinesAchievement,Line-by-line,10,LEADERBOARD,2025-04-17 09:16:26.675
CoverXMethodsAchievement,Check your methods,5,LEADERBOARD,2025-04-17 09:16:26.675
CoverXClassesAchievement,Check your classes,1,LEADERBOARD,2025-04-17 09:16:26.675
CoverXBranchesAchievement,Check your branches,4,LEADERBOARD,2025-04-17 09:16:26.675
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:16:41.272
RunWithCoverageAchievement,Gotta Catch ’Em All,1,LEADERBOARD,2025-04-17 09:16:41.284
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:16:52.927
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:17:19.464
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:17:19.48
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:17:22.28
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:17:44.438
RunWithCoverageAchievement,Gotta Catch ’Em All,1,LEADERBOARD,2025-04-17 09:17:44.451
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:18:18.675
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:18:18.675
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:18:21.6
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:19:09.975
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-04-17 09:20:17.8
AddTestsAchievement,Safety First,2,LEADERBOARD,2025-04-17 09:20:17.8
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-04-17 09:20:17.816
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:20:23.744
RefactorAddXAssertionsAchievement,Double check,13,LEADERBOARD,2025-04-17 09:20:37.599
AddTestsAchievement,Safety First,13,LEADERBOARD,2025-04-17 09:20:37.599
RefactorAddXAssertionsAchievement,Double check,13,LEADERBOARD,2025-04-17 09:20:42.303
AddTestsAchievement,Safety First,13,LEADERBOARD,2025-04-17 09:20:42.303
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:20:54.154
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:21:14.712
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:21:20.466
RunWithCoverageAchievement,Gotta Catch ’Em All,1,LEADERBOARD,2025-04-17 09:21:20.47
CoverXLinesAchievement,Line-by-line,5,LEADERBOARD,2025-04-17 09:21:21.502
CoverXMethodsAchievement,Check your methods,3,LEADERBOARD,2025-04-17 09:21:21.502
CoverXClassesAchievement,Check your classes,1,LEADERBOARD,2025-04-17 09:21:21.502
CoverXBranchesAchievement,Check your branches,1,LEADERBOARD,2025-04-17 09:21:21.502
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-04-17 09:23:14.736
AddTestsAchievement,Safety First,3,LEADERBOARD,2025-04-17 09:23:14.736
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:23:29.488
RefactorAddXAssertionsAchievement,Double check,16,LEADERBOARD,2025-04-17 09:23:52.676
AddTestsAchievement,Safety First,16,LEADERBOARD,2025-04-17 09:23:52.692
RefactorAddXAssertionsAchievement,Double check,16,LEADERBOARD,2025-04-17 09:24:05.745
AddTestsAchievement,Safety First,16,LEADERBOARD,2025-04-17 09:24:05.745
