Timestamp,Safety FirstLevel,Check your branchesLevel,Check your classesLevel,Line-by-lineLevel,Check your methodsLevel,Bug FinderLevel,Class Reviewer - BranchesLevel,Class Reviewer - LinesLevel,Class Reviewer - MethodsLevel,Double checkLevel,Shine in new splendourLevel,The Method ExtractorLevel,The Method InlinerLevel,The EponymLevel,Test FixerLevel,Gotta Catch ’Em AllLevel,The TesterLevel,The Tester - AdvancedLevel,Assert and TestedLevel,Safety FirstProgress,Check your branchesProgress,Check your classesProgress,Line-by-lineProgress,Check your methodsProgress,Bug FinderProgress,Class Reviewer - BranchesProgress,Class Reviewer - LinesProgress,Class Reviewer - MethodsProgress,Double checkProgress,Shine in new splendourProgress,The Method ExtractorProgress,The Method InlinerProgress,The EponymProgress,Test FixerProgress,Gotta Catch ’Em AllProgress,The TesterProgress,The Tester - AdvancedProgress,Assert and TestedProgress
2025-04-17 09:45:44.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2025-04-17 09:45:45.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
2025-04-17 09:49:48.853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
2025-04-17 09:49:48.876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
2025-04-17 09:49:48.902,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
2025-04-17 09:49:58.971,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0
2025-04-17 09:52:06.115,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,1,0,0
2025-04-17 09:52:06.119,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,1,0,0
2025-04-17 09:52:12.171,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,2,0,0
2025-04-17 09:52:34.135,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,5,0,0,1,0,0,2,0,0
2025-04-17 09:52:38.101,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,5,0,0,1,0,0,3,0,0
2025-04-17 09:54:29.867,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,5,0,0,1,0,0,4,0,0
2025-04-17 09:54:29.982,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,5,0,0,1,0,1,4,0,0
2025-04-17 09:56:04.783,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,12,5,0,0,1,0,1,4,0,0
2025-04-17 09:56:04.809,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,12,5,0,0,1,0,1,4,0,0
2025-04-17 09:56:04.91,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,12,5,0,0,2,0,1,4,0,0
2025-04-17 09:56:04.931,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,12,5,0,0,3,0,1,4,0,0
2025-04-17 09:56:04.934,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,12,6,0,0,3,0,1,4,0,0
2025-04-17 09:56:04.936,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,12,7,0,0,3,0,1,4,0,0
2025-04-17 09:56:09.864,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,12,7,0,0,3,0,1,5,0,0
2025-04-17 09:56:23.023,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,12,7,0,0,3,0,1,6,0,0
2025-04-17 09:56:23.123,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,12,7,0,0,3,0,2,6,0,0
2025-04-17 09:56:30.936,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,7,0,0,4,0,0,0,0,0,12,7,0,0,3,0,2,6,0,0
2025-04-17 09:56:30.989,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,7,0,0,4,4,0,0,0,0,12,7,0,0,3,0,2,6,0,0
2025-04-17 09:56:31.075,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,7,0,1,4,4,0,0,0,0,12,7,0,0,3,0,2,6,0,0
2025-04-17 09:56:58.408,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,7,0,1,4,4,0,0,0,0,12,7,0,0,3,0,2,7,0,0
2025-04-17 09:56:58.532,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,7,0,1,4,4,0,0,0,0,12,7,0,0,3,0,3,7,0,0
2025-04-17 09:57:03.201,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,7,0,1,8,4,0,0,0,0,12,7,0,0,3,0,3,7,0,0
2025-04-17 09:57:03.255,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,7,0,1,8,8,0,0,0,0,12,7,0,0,3,0,3,7,0,0
2025-04-17 09:57:03.337,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,7,0,2,8,8,0,0,0,0,12,7,0,0,3,0,3,7,0,0
2025-04-17 09:57:13.921,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,7,0,2,8,8,0,0,0,0,12,7,0,0,3,0,3,8,0,0
2025-04-17 09:57:14.019,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,7,0,2,8,8,0,0,0,0,12,7,0,0,3,0,4,8,0,0
2025-04-17 09:57:15.702,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,7,0,2,12,8,0,0,0,0,12,7,0,0,3,0,4,8,0,0
