Action,Name,Points,GameMode,Timestamp
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:18:12.564
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:22:04.001
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:22:17.479
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:25:40.986
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:36:50.277
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:36:56.301
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:43:28.863
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:43:28.865
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:45:44.984
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:45:44.99
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:49:48.829
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:49:48.854
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:49:48.878
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:49:58.939
RefactorAddXAssertionsAchievement,Double check,3,ACHIEVEMENTS,2025-04-17 09:52:06.092
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:52:06.117
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:52:12.148
RefactorXTestNamesAchievement,The Eponym,1,ACHIEVEMENTS,2025-04-17 09:52:34.133
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:52:38.081
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:54:29.845
