Action,Name,Points,GameMode,Timestamp
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:12:55.825
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:12:55.828
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:12:59.793
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:15:42.104
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:15:42.133
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:15:45.008
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:16:15.843
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:16:49.072
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:17:13.721
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:17:41.143
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:19:46.775
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:21:43.323
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:21:46.312
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:23:49.775
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:23:52.595
