Action,Name,Points,GameMode,Timestamp
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:17:56.729
RefactorAddXAssertionsAchievement,Double check,2,ACHIEVEMENTS,2025-04-17 09:28:42.689
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:28:42.768
RefactorAddXAssertionsAchievement,Double check,5,ACHIEVEMENTS,2025-04-17 09:36:57.755
AddTestsAchievement,Safety First,1,ACHIEVEMENTS,2025-04-17 09:36:57.787
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:51:44.597
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:53:14.703
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:56:08.474
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:56:08.474
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:56:46.29
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:56:46.29
RefactorAddXAssertionsAchievement,Double check,6,LEADERBOARD,2025-04-17 09:57:28.737
AddTestsAchievement,Safety First,6,LEADERBOARD,2025-04-17 09:57:28.753
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 10:00:21.207
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 10:00:27.503
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 10:00:35.811
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 10:00:40.183
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 10:00:56.714
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 10:01:03.862
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 10:01:13.901
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 10:01:42.609
RunWithCoverageAchievement,Gotta Catch ’Em All,1,LEADERBOARD,2025-04-17 10:01:42.613
CoverXLinesAchievement,Line-by-line,11,LEADERBOARD,2025-04-17 10:01:42.984
CoverXMethodsAchievement,Check your methods,3,LEADERBOARD,2025-04-17 10:01:42.984
CoverXClassesAchievement,Check your classes,1,LEADERBOARD,2025-04-17 10:01:42.984
CoverXBranchesAchievement,Check your branches,3,LEADERBOARD,2025-04-17 10:01:42.984
