Action,Name,Points,GameMode,Timestamp
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:04:05.341
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:05:23.461
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:06:23.405
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:06:55.209
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:06:56.126
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:07:13.8
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:09:09.233
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:09:09.234
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-04-17 09:09:09.771
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:09:10.156
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:10:35.158
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:10:35.158
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-04-17 09:10:35.696
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:10:36.092
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:11:30.683
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:11:30.683
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-04-17 09:11:31.261
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:11:31.658
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:12:52.463
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:12:52.463
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-04-17 09:12:52.992
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:12:53.378
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:13:32.869
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:13:32.87
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:13:33.807
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-04-17 09:13:53.737
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:13:54.129
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:14:26.9
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:14:26.901
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-04-17 09:14:27.441
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:14:27.832
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:14:55.176
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:14:55.176
