Action,Name,Points,GameMode,Timestamp
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-04-17 09:05:21.555
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:05:21.557
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:09:54.873
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:10:46.442
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:14:32.787
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:16:47.41
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:17:04.15
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:18:32.753
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:19:18.915
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:23:26.53
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:23:26.532
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:23:31.905
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:24:50.407
TriggerXAssertsByTestsAchievement,Assert and Tested,0,LEADERBOARD,2025-04-17 09:24:55.15
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:24:55.657
