Action,Name,Points,GameMode,Timestamp
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:13:18.729
RefactorAddXAssertionsAchievement,Double check,4,LEADERBOARD,2025-04-17 09:21:47.869
AddTestsAchievement,Safety First,2,LEADERBOARD,2025-04-17 09:21:47.872
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:23:23.575
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:23:42.649
RefactorCodeAchievement,Shine in new splendour,1,ACHIEVEMENTS,2025-04-17 09:28:47.302
RefactorAddXAssertionsAchievement,Double check,2,ACHIEVEMENTS,2025-04-17 09:35:22.694
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:49:10.332
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:50.398
RunXTestSuitesAchievement,The Tester,1,ACHIEVEMENTS,2025-04-17 09:50:58.084
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:52:31.601
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:52:31.603
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:57:51.018
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:59:06.621
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-04-17 10:01:55.207
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 10:03:10.505
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 10:03:36.303
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 10:04:19.236
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 10:06:38.318
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 10:06:38.32
