Action,Name,Points,GameMode,Timestamp
RefactorAddXAssertionsAchievement,Double check,2,LEADERBOARD,2025-04-17 09:07:10.555
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:07:10.563
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:07:22.281
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-04-17 09:08:48.709
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:08:48.709
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:13:48.391
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-04-17 09:16:41.587
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:17:26.595
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:17:35.925
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:19:48.822
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:20:38.1
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:21:35.896
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:23:02.943
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:23:02.943
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:23:09.038
