Timestamp,Safety FirstLevel,Check your branchesLevel,Check your classesLevel,Line-by-lineLevel,Check your methodsLevel,Bug FinderLevel,Class Reviewer - BranchesLevel,Class Reviewer - LinesLevel,Class Reviewer - MethodsLevel,Double checkLevel,Shine in new splendourLevel,The Method ExtractorLevel,The Method InlinerLevel,The EponymLevel,Test FixerLevel,Gotta Catch ’Em AllLevel,The TesterLevel,The Tester - AdvancedLevel,Assert and TestedLevel,Safety FirstProgress,Check your branchesProgress,Check your classesProgress,Line-by-lineProgress,Check your methodsProgress,Bug FinderProgress,Class Reviewer - BranchesProgress,Class Reviewer - LinesProgress,Class Reviewer - MethodsProgress,Double checkProgress,Shine in new splendourProgress,The Method ExtractorProgress,The Method InlinerProgress,The EponymProgress,Test FixerProgress,Gotta Catch ’Em AllProgress,The TesterProgress,The Tester - AdvancedProgress,Assert and TestedProgress
2025-04-17 09:44:42.402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2025-04-17 09:44:54.784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2025-04-17 09:44:54.943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
2025-04-17 09:44:55.212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0
2025-04-17 09:44:55.295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,7,0,0,1,1,0,0,0,0,0,0,1,2,0,0
2025-04-17 09:44:55.391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,7,0,0,1,1,0,0,0,0,0,0,1,2,0,0
2025-04-17 09:45:03.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,7,0,0,1,1,0,0,0,0,0,0,1,3,0,0
2025-04-17 09:45:03.245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,7,0,0,1,1,0,0,0,0,0,0,2,3,0,0
2025-04-17 09:46:25.676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,7,0,0,1,1,2,0,0,0,0,0,2,3,0,0
2025-04-17 09:46:25.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,12,7,0,0,1,1,2,0,0,0,0,0,2,3,0,0
2025-04-17 09:46:29.154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,12,7,0,0,1,1,2,0,0,0,0,0,2,4,0,0
2025-04-17 09:46:32.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,12,7,0,0,1,1,2,0,0,0,0,0,2,5,0,0
2025-04-17 09:46:32.101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,12,7,0,0,1,1,2,0,0,0,0,0,3,5,0,0
2025-04-17 09:46:32.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,18,7,0,0,1,1,2,0,0,0,0,0,3,5,0,0
2025-04-17 09:46:32.435,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,18,11,0,0,1,1,2,0,0,0,0,0,3,5,0,0
2025-04-17 09:46:32.499,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,18,11,0,0,1,1,2,0,0,0,0,0,3,5,0,0
2025-04-17 09:47:33.886,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,5,0,0
2025-04-17 09:47:33.899,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,5,0,0
2025-04-17 09:47:40.979,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,6,0,0
2025-04-17 09:48:59.82,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,6,0,2
2025-04-17 09:49:00.313,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,7,0,2
2025-04-17 09:49:27.766,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,7,0,4
2025-04-17 09:49:27.832,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,7,0,6
2025-04-17 09:49:28.323,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,8,0,6
2025-04-17 09:49:40.002,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,8,0,8
2025-04-17 09:49:40.085,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,8,0,10
2025-04-17 09:49:40.57,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,9,0,10
2025-04-17 09:49:40.611,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,4,9,0,10
2025-04-17 09:49:43.765,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,2,0,2,30,11,0,0,1,1,4,0,0,0,0,0,4,9,0,10
2025-04-17 09:49:43.832,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,2,0,2,30,18,0,0,1,1,4,0,0,0,0,0,4,9,0,10
2025-04-17 09:49:43.864,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,2,0,3,30,18,0,0,1,1,4,0,0,0,0,0,4,9,0,10
2025-04-17 09:51:00.989,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,2,0,3,30,18,0,0,1,1,5,0,0,0,0,0,4,9,0,10
2025-04-17 09:51:01.005,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,3,0,3,30,18,0,0,1,1,5,0,0,0,0,0,4,9,0,10
2025-04-17 09:51:35.826,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,3,0,3,30,18,0,0,1,1,6,0,0,0,0,0,4,9,0,10
2025-04-17 09:51:39.146,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,3,0,3,30,18,0,0,1,1,6,0,0,0,0,0,4,10,0,10
2025-04-17 09:52:27.184,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,3,0,3,30,18,0,0,1,1,6,0,0,0,0,0,4,10,0,12
2025-04-17 09:52:27.808,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,3,0,3,30,18,0,0,1,1,6,0,0,0,0,0,4,11,0,12
2025-04-17 09:52:33.391,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,3,0,3,30,18,0,0,1,1,6,0,0,0,0,0,4,11,0,14
2025-04-17 09:52:33.981,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,3,0,3,30,18,0,0,1,1,6,0,0,0,0,0,4,12,0,14
2025-04-17 09:52:34.079,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,3,0,3,30,18,0,0,1,1,6,0,0,0,0,0,5,12,0,14
2025-04-17 09:52:34.27,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,3,0,3,39,18,0,0,1,1,6,0,0,0,0,0,5,12,0,14
2025-04-17 09:52:34.296,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,3,0,3,39,24,0,0,1,1,6,0,0,0,0,0,5,12,0,14
2025-04-17 09:52:34.329,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,3,0,4,39,24,0,0,1,1,6,0,0,0,0,0,5,12,0,14
2025-04-17 09:53:14.883,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,3,0,4,39,24,0,0,1,1,6,0,0,0,0,0,5,12,0,15
2025-04-17 09:53:15.467,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,3,0,4,39,24,0,0,1,1,6,0,0,0,0,0,5,13,0,15
2025-04-17 09:55:24.731,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,6,0,2
2025-04-17 09:55:24.915,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,6,0,3
2025-04-17 09:55:25.102,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,6,0,5
2025-04-17 09:55:25.233,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,6,0,7
2025-04-17 09:55:25.335,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,7,0,9
2025-04-17 09:55:25.34,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,7,0,9
2025-04-17 09:55:31.412,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,7,0,11
2025-04-17 09:55:31.497,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,7,0,12
2025-04-17 09:55:31.575,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,7,0,14
2025-04-17 09:55:31.629,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,7,0,16
2025-04-17 09:55:31.692,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,7,0,18
2025-04-17 09:55:31.96,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,3,8,0,18
2025-04-17 09:55:32.068,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,2,0,2,18,11,0,0,1,1,4,0,0,0,0,0,4,8,0,18
2025-04-17 09:55:32.434,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,2,0,2,28,11,0,0,1,1,4,0,0,0,0,0,4,8,0,18
2025-04-17 09:55:32.529,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,2,2,0,2,28,18,0,0,1,1,4,0,0,0,0,0,4,8,0,18
