Action,Name,Points,GameMode,Timestamp
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-04-17 09:10:42.772
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:10:42.776
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-04-17 09:11:25.88
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:11:25.882
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:12:23.624
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:13:58.461
RefactorCodeAchievement,Shine in new splendour,1,LEADERBOARD,2025-04-17 09:13:58.462
RefactorAddXAssertionsAchievement,Double check,3,LEADERBOARD,2025-04-17 09:16:04.153
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:16:04.155
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:17:50.309
AddTestsAchievement,Safety First,2,LEADERBOARD,2025-04-17 09:17:50.311
RefactorXTestNamesAchievement,The Eponym,1,LEADERBOARD,2025-04-17 09:18:41.826
RefactorAddXAssertionsAchievement,Double check,1,LEADERBOARD,2025-04-17 09:19:35.036
AddTestsAchievement,Safety First,1,LEADERBOARD,2025-04-17 09:19:35.037
TriggerXAssertsByTestsAchievement,Assert and Tested,2,LEADERBOARD,2025-04-17 09:26:10.168
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:26:10.87
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:26:23.364
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-04-17 09:28:30.316
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-04-17 09:28:30.33
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-04-17 09:28:30.586
TriggerXAssertsByTestsAchievement,Assert and Tested,1,LEADERBOARD,2025-04-17 09:28:30.77
RunXTestSuitesAchievement,The Tester,1,LEADERBOARD,2025-04-17 09:28:31.088
