Action,Name,Points,GameMode,Timestamp
RefactorAddXAssertionsAchievement,Double check,9,LEADERBOARD,2025-04-17 09:06:39.704
AddTestsAchievement,Safety First,3,LEADERBOARD,2025-04-17 09:06:39.708
RefactorAddXAssertionsAchievement,Double check,9,LEADERBOARD,2025-04-17 09:06:57.117
AddTestsAchievement,Safety First,3,LEADERBOARD,2025-04-17 09:06:57.124
RefactorAddXAssertionsAchievement,Double check,9,LEADERBOARD,2025-04-17 09:07:06.062
AddTestsAchievement,Safety First,3,LEADERBOARD,2025-04-17 09:07:06.063
RefactorAddXAssertionsAchievement,Double check,9,LEADERBOARD,2025-04-17 09:07:10.733
AddTestsAchievement,Safety First,3,LEADERBOARD,2025-04-17 09:07:10.734
RefactorAddXAssertionsAchievement,Double check,9,LEADERBOARD,2025-04-17 09:07:15.305
AddTestsAchievement,Safety First,3,LEADERBOARD,2025-04-17 09:07:15.306
RefactorAddXAssertionsAchievement,Double check,9,LEADERBOARD,2025-04-17 09:07:44.045
AddTestsAchievement,Safety First,3,LEADERBOARD,2025-04-17 09:07:44.046
RefactorAddXAssertionsAchievement,Double check,9,LEADERBOARD,2025-04-17 09:07:50.178
AddTestsAchievement,Safety First,3,LEADERBOARD,2025-04-17 09:07:50.179
RefactorAddXAssertionsAchievement,Double check,9,LEADERBOARD,2025-04-17 09:07:53.585
AddTestsAchievement,Safety First,3,LEADERBOARD,2025-04-17 09:07:53.585
RefactorAddXAssertionsAchievement,Double check,9,LEADERBOARD,2025-04-17 09:07:57.241
AddTestsAchievement,Safety First,3,LEADERBOARD,2025-04-17 09:07:57.247
RefactorAddXAssertionsAchievement,Double check,51,LEADERBOARD,2025-04-17 09:11:24.184
AddTestsAchievement,Safety First,21,LEADERBOARD,2025-04-17 09:11:24.185
RefactorAddXAssertionsAchievement,Double check,816,LEADERBOARD,2025-04-17 09:12:29.042
AddTestsAchievement,Safety First,336,LEADERBOARD,2025-04-17 09:12:29.045
RefactorAddXAssertionsAchievement,Double check,2652,LEADERBOARD,2025-04-17 09:14:14.031
AddTestsAchievement,Safety First,1092,LEADERBOARD,2025-04-17 09:14:14.045
RefactorAddXAssertionsAchievement,Double check,2652,LEADERBOARD,2025-04-17 09:14:46.543
AddTestsAchievement,Safety First,1092,LEADERBOARD,2025-04-17 09:14:46.551
