totalClassCount,coveredClassCount,totalMethodCount,coveredMethodCount,totalLineCount,coveredLineCount,totalBranchCount,coveredBranchCount,testedClass,testName
1,1,8,4,15,7,6,2,be.thibber.gamification.vehicle.Vehicle,VehicleTest
1,1,8,4,15,7,6,2,be.thibber.gamification.vehicle.Vehicle,VehicleTest.accelerate
1,1,8,3,15,6,6,2,be.thibber.gamification.vehicle.Vehicle,VehicleTest.accelerateError
1,1,8,4,15,7,6,2,be.thibber.gamification.vehicle.Vehicle,VehicleTest.brake
1,1,8,3,15,6,6,2,be.thibber.gamification.vehicle.Vehicle,VehicleTest.brakeError
1,1,8,3,15,5,6,1,be.thibber.gamification.vehicle.Vehicle,VehicleTest.isStopped
1,1,8,4,15,6,6,1,be.thibber.gamification.vehicle.Vehicle,VehicleTest.reset
1,1,8,8,14,14,0,0,be.thibber.gamification.Coords,CoordsTest
1,1,3,3,4,4,0,0,be.thibber.gamification.Person,PersonTest
1,1,6,2,8,4,0,0,be.thibber.gamification.Road,RoadTest.constructor
1,1,6,4,8,6,0,0,be.thibber.gamification.Road,RoadTest
1,1,6,4,8,6,0,0,be.thibber.gamification.Road,RoadTest.addVehicles
1,1,6,4,8,6,0,0,be.thibber.gamification.Road,RoadTest.removeVehicles
1,1,6,3,8,5,0,0,be.thibber.gamification.Road,RoadTest.setName
