Timestamp,Safety FirstLevel,Check your branchesLevel,Check your classesLevel,Line-by-lineLevel,Check your methodsLevel,Bug FinderLevel,Class Reviewer - BranchesLevel,Class Reviewer - LinesLevel,Class Reviewer - MethodsLevel,Double checkLevel,Shine in new splendourLevel,The Method ExtractorLevel,The Method InlinerLevel,The EponymLevel,Test FixerLevel,Gotta Catch ’Em AllLevel,The TesterLevel,The Tester - AdvancedLevel,Assert and TestedLevel,Safety FirstProgress,Check your branchesProgress,Check your classesProgress,Line-by-lineProgress,Check your methodsProgress,Bug FinderProgress,Class Reviewer - BranchesProgress,Class Reviewer - LinesProgress,Class Reviewer - MethodsProgress,Double checkProgress,Shine in new splendourProgress,The Method ExtractorProgress,The Method InlinerProgress,The EponymProgress,Test FixerProgress,Gotta Catch ’Em AllProgress,The TesterProgress,The Tester - AdvancedProgress,Assert and TestedProgress
2025-04-17 09:45:14.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
2025-04-17 09:45:14.432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1
2025-04-17 09:45:32.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1
2025-04-17 09:45:52.451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,1
2025-04-17 09:46:05.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,1
2025-04-17 09:46:58.879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,1
2025-04-17 09:47:03.428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,0,2
2025-04-17 09:47:03.939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,0,2
2025-04-17 09:47:42.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,0,3
2025-04-17 09:47:42.213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,0,4
2025-04-17 09:47:42.723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,6,0,4
2025-04-17 09:47:42.902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,6,0,4
2025-04-17 09:47:43.535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,3,1,0,0,0,0,0,1,6,0,4
2025-04-17 09:47:43.762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,4,3,0,0,0,3,1,0,0,0,0,0,1,6,0,4
2025-04-17 09:47:43.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,3,0,0,0,3,1,0,0,0,0,0,1,6,0,4
2025-04-17 09:47:56.525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,3,0,0,0,3,1,0,0,0,0,0,1,7,0,4
2025-04-17 09:47:56.764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,4,3,0,0,0,3,1,0,0,0,0,0,2,7,0,4
2025-04-17 09:48:03.601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,10,3,0,0,0,3,1,0,0,0,0,0,2,7,0,4
2025-04-17 09:48:03.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,10,7,0,0,0,3,1,0,0,0,0,0,2,7,0,4
2025-04-17 09:48:03.839,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,10,7,0,0,0,3,1,0,0,0,0,0,2,7,0,4
2025-04-17 09:48:33.275,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,10,7,0,0,0,3,1,0,0,0,0,0,2,8,0,4
2025-04-17 09:48:33.488,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,10,7,0,0,0,3,1,0,0,0,0,0,3,8,0,4
2025-04-17 09:48:36.509,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,11,7,0,0,0,3,1,0,0,0,0,0,3,8,0,4
2025-04-17 09:48:36.604,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,11,8,0,0,0,3,1,0,0,0,0,0,3,8,0,4
2025-04-17 09:48:36.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,11,8,0,0,0,3,1,0,0,0,0,0,3,8,0,4
2025-04-17 09:50:05.864,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,3,11,8,0,0,0,3,2,0,0,0,0,0,3,8,0,4
2025-04-17 09:50:05.874,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,11,8,0,0,0,3,2,0,0,0,0,0,3,8,0,4
2025-04-17 09:50:59.571,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,11,8,0,0,0,3,2,0,0,0,0,0,3,9,0,4
2025-04-17 09:51:12.305,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,11,8,0,0,0,3,2,0,0,0,0,0,3,10,0,4
2025-04-17 09:51:16.399,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,11,8,0,0,0,3,2,0,0,0,0,0,3,11,0,4
2025-04-17 09:51:16.498,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,11,8,0,0,0,3,2,0,0,0,0,0,4,11,0,4
2025-04-17 09:51:18.555,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,19,8,0,0,0,4,2,0,0,0,0,0,4,11,0,4
2025-04-17 09:51:18.665,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,3,19,14,0,0,0,4,2,0,0,0,0,0,4,11,0,4
2025-04-17 09:51:18.776,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4,19,14,0,0,0,4,2,0,0,0,0,0,4,11,0,4
2025-04-17 09:52:47.476,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4,19,14,0,0,0,4,2,0,0,0,0,0,4,12,0,4
2025-04-17 09:53:33.346,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,4,19,14,0,0,0,4,2,0,0,0,0,0,4,13,0,4
2025-04-17 09:54:19.632,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,4,19,14,0,0,0,4,3,0,0,0,0,0,4,13,0,4
2025-04-17 09:54:24.836,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,4,19,14,0,0,0,4,3,0,0,0,0,0,4,14,0,4
2025-04-17 09:55:57.467,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,4,19,14,0,0,0,4,4,0,0,0,0,0,4,14,0,4
2025-04-17 09:55:57.471,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,4,19,14,0,0,0,4,4,0,0,0,0,0,4,14,0,4
2025-04-17 09:58:18.252,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,2,0,4,19,14,0,0,0,4,6,0,0,0,0,0,4,14,0,4
2025-04-17 09:58:18.317,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,3,0,4,19,14,0,0,0,4,6,0,0,0,0,0,4,14,0,4
2025-04-17 09:58:22.192,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,3,0,4,19,14,0,0,0,4,6,0,0,0,0,0,4,14,0,5
2025-04-17 09:58:22.754,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,2,0,1,3,0,4,19,14,0,0,0,4,6,0,0,0,0,0,4,15,0,5
